net,length_um
_036639_,769.435
_020748_,769.405
net342,767.55
_032174_,767.245
_037483_,766.915
_037918_,766.245
_042837_,765.42
_034939_,765.245
_040329_,764.445
_055070_,763.675
_052843_,763.55
_034956_,763.535
net330,763.49
_044871_,763.19
_019082_,762.995
_018393_,762.95
_034954_,762.615
_023337_,762.42
d2d_sideband.fdi_sideband_node.tx_ser._data_T\[31\],762.275
_041043_,761.53
_019113_,761.12
_038651_,761.055
_032449_,758.705
net262,758.645
_041053_,758.32
_037792_,757.88
_035182_,756.975
_020653_,756.905
_035189_,755.335
_054929_,755.23
_031739_,755.06
_035580_,754.885
_039829_,754.805
_052986_,754.315
_041018_,753.83
_053837_,753.255
_042836_,753.095
_018827_,752.77
_035571_,752.415
_019287_,751.915
_018432_,750.85
_044713_,750.385
_020818_,749.98
_020800_,749.89
_042130_,749.5
_019413_,749.275
_019120_,748.52
_031720_,747.67
_053838_,746.895
d2d_sideband.fdi_sideband_node.tx_ser._data_T\[27\],746.86
_034963_,746.61
_019140_,745.41
_018445_,745.395
_040766_,744.92
_020815_,744.665
net284,744.16
_037804_,743.99
_021224_,743.71
_031885_,742.595
_037885_,742.505
_031821_,742.345
_051743_,742.07
net34,741.945
net87,741.42
_020099_,741.38
_035045_,741.23
_030400_,741.115
_035553_,740.965
d2d_sideband.fdi_sideband_node.rx_des.data_0\[31\],740.9
_029229_,740.64
_039666_,740.31
_041057_,740.265
_034925_,739.785
_053785_,739.305
_019007_,737.96
_032575_,737.57
_026488_,737.225
_053983_,736.82
_045925_,736.745
_018446_,735.555
_039459_,734.755
_030568_,734.235
_052987_,734.08
_037338_,734.025
_037937_,733.535
_032990_,732.955
_018447_,732.655
_052844_,732.195
_022673_,731.895
_038584_,731.545
net185,731.23
net159,731.17
_027441_,730.99
net436,730.565
_043003_,729.9
_053185_,729.785
_047007_,729.645
_035056_,729.515
_052735_,729.445
_041235_,729.325
_035188_,729.065
_037850_,728.61
_035143_,728.13
_034961_,727.92
_042917_,727.35
_035030_,727.275
net212,727.025
_026548_,726.57
_019117_,726.46
_032576_,726.35
_031511_,725.915
_019079_,725.46
_035047_,723.545
_019630_,723.5
_034981_,723.005
net350,722.835
_025869_,722.24
_020860_,721.7
_018995_,721.625
_038673_,720.89
_022995_,720.155
_035448_,719.32
_042918_,719.285
_020736_,718.815
_037864_,718.695
_039949_,718.65
_025954_,718.6
_023282_,718.435
_020771_,718.355
net150,717.09
_030561_,716.94
_023249_,716.3
_037626_,716.2
net144,715.645
_035609_,715.31
_028146_,715.055
_041036_,715.035
net94,714.61
_048710_,714.595
_037839_,713.85
_031794_,713.66
_035256_,713.305
_054303_,712.96
_035101_,712.845
_032514_,712.825
_019008_,712.635
_031755_,711.845
_048013_,711.65
_030567_,711.44
_047041_,711.375
_035054_,711.33
_041038_,710.73
_034962_,710.525
_023304_,710.52
_044722_,709.165
_018954_,709
_042841_,708.96
_028086_,708.955
_034879_,708.61
_019374_,708.375
_030946_,707.975
_035198_,707.84
_035079_,707.74
_038625_,707.665
_040945_,707.575
_032082_,707.435
_030805_,707.08
_023532_,706.995
_032621_,706.975
_027637_,706.19
_046617_,705.68
_019968_,705.565
_035087_,704.825
_035021_,704.735
_037802_,704.56
_025576_,704.34
_035297_,704.275
_028801_,704.01
_035215_,703.74
_031088_,703.735
_037945_,703.57
_032245_,703.405
_020852_,702.815
_040774_,702.78
_019023_,702.515
_039538_,702.225
net157,701.93
_043007_,701.765
net299,701.69
_019228_,701.425
_053872_,701.255
_037871_,701.25
_040703_,701.04
net202,700.53
_019042_,700.495
_032564_,700.29
_036794_,700.29
_018989_,700.1
_018596_,699.72
_021236_,699.72
_019062_,699.635
_019133_,699.475
_019198_,699.44
net230,698.88
_037195_,697.825
_046758_,697.63
_030517_,697.14
net1304,696.64
_035380_,696.58
_044748_,695.65
_041054_,695.53
_041017_,694.36
net2803,694.13
_037819_,693.935
_019174_,693.93
_023682_,693.385
_035041_,693.165
_034732_,692.495
_035206_,692.48
_032560_,692.41
net38,691.995
net264,691.73
_033849_,691.37
_019375_,691.11
_035152_,691
_033850_,690.385
_037883_,690.275
net859,689.89
_037914_,689.775
_034810_,689.545
_026840_,689.44
_037860_,689.235
_020676_,689.025
_042852_,688.24
_019070_,688.05
_035563_,687.875
_034949_,687.505
_038668_,687.28
_039430_,687.19
net240,687.165
_034894_,686.79
_038616_,686.335
_020838_,686.055
_032639_,685.94
_034896_,685.75
_047473_,685.17
_034923_,685
_035175_,684.855
_020678_,684.555
_019027_,684.48
net1463,684.06
_029404_,683.9
_035073_,683.565
_028073_,683.495
_034985_,682.495
_035080_,682.49
_033908_,682.425
_039815_,682.295
_031719_,681.975
_046333_,681.9
_035259_,681.885
_018419_,681.78
_035074_,681.5
_035193_,680.87
_040786_,680.79
_028072_,680.535
_052027_,680.445
_034946_,680.43
_035514_,680.34
_031620_,680.265
_031830_,679.445
_023681_,678.85
_035169_,678.75
_019018_,678.175
_019132_,678.07
_029655_,678.04
_039542_,678
_021441_,676.72
_031848_,676.47
_042853_,676.39
_034980_,675.995
_031373_,675.94
_042843_,675.875
_019150_,675.75
_039967_,675.1
_019327_,675.085
_025407_,674.785
_022565_,674.625
_019676_,674.44
_032628_,674.21
net93,673.855
_041028_,673.47
_053730_,673.025
_053163_,672.655
_018776_,671.71
_035050_,671.63
_019090_,671.565
_034107_,671.185
_035163_,670.81
_035100_,670.785
_035029_,670.53
_031696_,670.435
_019400_,670.38
_019029_,670.145
_039541_,669.655
d2d_mainband.data_buff_snt_reg\[44\],669.505
_052311_,669.245
_019296_,669.135
_018331_,669.015
_034979_,668.475
_052594_,668.235
_035035_,668.01
_044757_,667
net348,666.69
_041060_,666.58
_042897_,666.31
_028558_,666.285
_045012_,665.965
_032786_,665.35
_019388_,664.94
_032417_,664.695
_046474_,664.64
_033225_,664.61
_046093_,664.495
_028979_,664.49
_035200_,664.355
net1705,664.295
_030771_,664.045
_019392_,664.03
net147,663.97
_035510_,663.84
_032893_,663.81
_053141_,663.25
_022198_,662.515
_021081_,662.495
_028123_,662.48
_025265_,662.27
_032806_,661.99
_040414_,661.295
_022707_,660.855
_018437_,660.78
_037482_,660.655
_035031_,660.56
_040862_,660.225
_019494_,660.22
net543,660.13
net1939,659.23
_035195_,659.005
_034926_,658.87
_035095_,658.825
_024015_,658.545
_039556_,658.3
_028537_,658.03
_039814_,657.72
_041966_,657.245
_039500_,657.185
_019038_,657.1
_021227_,656.755
_054587_,655.8
_020668_,655.645
_034948_,655.635
_031777_,655.36
_035093_,655.295
_047582_,655.11
_035351_,655.1
_034106_,654.575
_041007_,654.57
_019342_,654.345
_020647_,654.215
_036638_,654.205
_027931_,654.165
_053653_,654.115
_029656_,653.81
_018440_,653.635
_023105_,653.425
_031700_,653.195
_025250_,652.91
_030549_,652.91
_039557_,652.2
_038604_,652.175
_053752_,651.97
_031672_,651.905
_032626_,651.825
_031766_,651.3
_043004_,650.665
_046299_,650.1
_028945_,649.96
_052453_,649.51
_035072_,649.435
net224,649.425
_042855_,649.28
_020679_,648.765
_032222_,648.33
_039669_,647.575
_038598_,647.455
_030258_,647.38
_032579_,646.905
_029974_,646.8
_034972_,646.605
_035078_,646.37
_037845_,646.18
_051140_,646.115
_029797_,645.785
_034969_,645.785
_031707_,645.75
_046440_,645.625
_020753_,644.87
_019053_,643.785
_039717_,643.72
_019330_,643.67
_042484_,643.615
_034967_,643.555
_027286_,643.245
_035009_,643.195
_037805_,643.07
_030081_,642.705
_041042_,642.645
_031862_,642.625
_025719_,641.78
_019022_,641.735
_019227_,641.46
_031619_,641.45
_032078_,641.45
_034437_,640.965
_034966_,640.41
_032539_,640.12
_039602_,639.845
_035090_,639.335
_020626_,639.23
_024273_,639.175
_031792_,639.145
_035036_,639.05
_031726_,638.95
_020828_,638.645
_018443_,638.61
_038592_,638.515
_041403_,638.32
_033887_,638.19
_039772_,637.2
_023425_,637.165
_019066_,636.78
_029548_,636.735
_051994_,636.555
_039832_,636.515
_038610_,636.235
_055307_,635.775
_028244_,635.76
_052278_,635.67
_020652_,635.6
_046725_,635.235
_032767_,635.17
_043035_,634.815
_032309_,634.5
_031054_,634.175
_020927_,633.975
_031900_,633.955
_021283_,633.77
_045891_,633.53
_037817_,633.435
_023825_,633.425
_035167_,633.13
_041051_,633.015
_019405_,632.815
_029370_,632.67
_037022_,632.625
_029940_,632.57
_025089_,632.23
_028255_,631.69
_042840_,631.03
_020446_,630.99
net359,630.99
_035370_,630.095
_020661_,630.005
_035186_,629.945
_039418_,629.935
_020709_,629.87
_023715_,629.565
_031725_,629.405
_035091_,629.385
_041230_,629.275
_036828_,629.25
_028173_,628.475
_019031_,628.46
_040868_,628.43
_041046_,628.075
_051569_,627.9
_021284_,627.81
_019078_,627.53
_031839_,627.53
_053448_,626.89
_035013_,626.735
_042896_,626.155
_035008_,626.11
_034947_,625.65
_034891_,625.495
_028396_,625.49
net86,625.455
_037783_,624.87
_032346_,624.855
_048744_,624.845
_054500_,624.62
_030507_,624.6
_042851_,624.585
_019080_,624.37
_035201_,624.27
_034965_,623.87
_033912_,623.815
net233,623.64
_040767_,623.57
_051033_,623.465
_019360_,622.83
_022391_,622.83
_024452_,622.47
_032651_,622.44
_032615_,622.435
_037894_,622.27
_039816_,622.16
_039880_,621.96
_034990_,621.54
_019155_,620.955
_034991_,620.85
_019365_,620.815
_050713_,620.53
_022587_,620.455
_031627_,620.315
_023017_,620.235
_035049_,620.03
_039603_,619.905
_019017_,619.595
_030513_,619.42
_038630_,619.01
_019049_,617.835
_035015_,617.77
_034974_,617.59
_029514_,617.445
net332,617.32
_024161_,617.31
_039590_,616.985
_032270_,616.735
_050570_,616.69
_023723_,616.385
_031781_,616.305
_019034_,615.965
_019162_,615.905
_046865_,615.835
_030546_,615.815
_022850_,615.79
_046584_,615.26
_029831_,615.145
_018946_,615.135
_043014_,614.945
